Country Name,2011,2012,2013,2014,,,,,
Timor-Leste,1042411500,1160389500,1395519600,1447307100,,,,,
Middle East & North Africa (IDA & IBRD countries),1.55444E+12,1.68773E+12,1.5583E+12,1.53367E+12,,,,,
Tonga,414523388.5,470714083.4,450643615.2,439878828,,,,,
South Asia (IDA & IBRD),2.27455E+12,2.30009E+12,2.35961E+12,2.58456E+12,,,,,
Sub-Saharan Africa (IDA & IBRD countries),1.614E+12,1.67788E+12,1.78503E+12,1.84977E+12,,,,,
Trinidad and Tobago,25433011405,25763220107,27268478565,27615843098,,,,,
Tunisia,48122838145,47311196335,48683848564,50271342086,,,,,
Turkey,8.38763E+11,8.80556E+11,9.57783E+11,9.38953E+11,,,,,
Tuvalu,38711810.21,37671774.69,37509075.11,37290607.54,,,,,
Tanzania,34657139495,39650530214,45680532614,49964788814,,,,,
Uganda,27871725206,27305915761,28915786997,32612397758,,,,,
Ukraine,1.69333E+11,1.82592E+11,1.90499E+11,1.33503E+11,,,,,
Upper middle income,1.78902E+13,1.91576E+13,2.05784E+13,2.12189E+13,,,,,
Uruguay,47962439304,51264390116,57531233351,57236013086,,,,,
United States,1.55426E+13,1.6197E+13,1.67848E+13,1.75272E+13,,,,,
Uzbekistan,60178909297,67517349212,73180036692,80845384375,,,,,
St. Vincent and the Grenadines,676129629.6,692933333.3,721207407.4,727714814.8,,,,,
"Venezuela, RB",3.16482E+11,3.81286E+11,3.71005E+11,4.82359E+11,,,,,
British Virgin Islands,,,,,,,,,
Virgin Islands (U.S.),4223000000,4089000000,3738000000,3565000000,,,,,
Vietnam,1.35539E+11,1.5582E+11,1.71222E+11,1.86205E+11,,,,,
Vanuatu,770153304.2,747839697.7,758304466.2,772315721.3,,,,,
World,7.36537E+13,7.53123E+13,7.74395E+13,7.95577E+13,,,,,
Samoa,737147951.1,760319276,770059551,756805940.2,,,,,
Kosovo,6341737194,6163785173,6735731173,7074657898,,,,,
"Yemen, Rep.",32726417212,35401341663,40415235702,43228585321,,,,,
South Africa,4.58202E+11,4.34401E+11,4.00886E+11,3.81199E+11,,,,,
Zambia,23459515276,25503060420,28037239463,27141023558,,,,,
Zimbabwe,14101920300,17114849900,19091020000,19495519600,,,,,
